Year,GeoType,Borough,GeoID,BCT2020,Name,CDType,NTAType,Pop1,Male ,Fem,LandAcres
2020,NTA2020,Brooklyn,BK1201,,Sunset Park (East)-Borough Park (West),,0,35632,17582,18050,269.52
2020,NTA2020,Brooklyn,BK1202,,Borough Park,,0,93905,47794,46111,929.18
2020,NTA2020,Brooklyn,BK1203,,Kensington,,0,41758,20834,20924,401.04
2020,NTA2020,Brooklyn,BK1204,,Mapleton-Midwood (West),,0,39137,19784,19353,720.13
2020,NTA2020,Brooklyn,BK1301,,Gravesend (South),,0,30366,14489,15877,598.52
2020,NTA2020,Brooklyn,BK1302,,Coney Island-Sea Gate,,0,49517,22242,27275,1082.52
2020,NTA2020,Brooklyn,BK1303,,Brighton Beach,,0,33568,15999,17569,311.67
2020,NTA2020,Brooklyn,BK1391,,Calvert Vaux Park,,9,0,0,0,95.25
2020,NTA2020,Brooklyn,BK1401,,Flatbush,,0,66503,30034,36469,551.55
2020,NTA2020,Brooklyn,BK1402,,Flatbush (West)-Ditmas Park-Parkville,,0,43016,20946,22070,525.64
2020,NTA2020,Brooklyn,BK1403,,Midwood,,0,52891,25804,27087,739.74
2020,NTA2020,Brooklyn,BK1501,,Gravesend (East)-Homecrest,,0,52797,25964,26833,800.64
2020,NTA2020,Brooklyn,BK1502,,Madison,,0,41465,20009,21456,628.49
2020,NTA2020,Brooklyn,BK1503,,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,,0,69084,32458,36626,1452.42
2020,NTA2020,Brooklyn,BK1601,,Ocean Hill,,0,37952,17403,20549,461.37
2020,NTA2020,Brooklyn,BK1602,,Brownsville,,0,60470,26168,34302,706.58
2020,NTA2020,Brooklyn,BK1701,,East Flatbush-Erasmus,,0,47690,21094,26596,454.04
2020,NTA2020,Brooklyn,BK1702,,East Flatbush-Farragut,,0,34317,15286,19031,554.11
2020,NTA2020,Brooklyn,BK1703,,East Flatbush-Rugby,,0,42762,19011,23751,623.11
2020,NTA2020,Brooklyn,BK1704,,East Flatbush-Remsen Village,,0,39115,17520,21595,422.18
2020,NTA2020,Brooklyn,BK1771,,Holy Cross Cemetery,,7,32,14,18,97.78
2020,NTA2020,Brooklyn,BK1801,,Flatlands,,0,67087,30093,36994,1249.16
2020,NTA2020,Brooklyn,BK1802,,Marine Park-Mill Basin-Bergen Beach,,0,46955,22445,24510,1367.04
2020,NTA2020,Brooklyn,BK1803,,Canarsie,,0,89932,40038,49894,1626.04
2020,NTA2020,Brooklyn,BK1891,,Marine Park-Plumb Island,,9,1,0,1,1000.03
2020,NTA2020,Brooklyn,BK1892,,McGuire Fields,,9,4,3,1,295.72
2020,NTA2020,Brooklyn,BK1893,,Canarsie Park & Pier,,9,5,4,1,334.86
2020,NTA2020,Brooklyn,BK5591,,Prospect Park,,9,15,6,9,571.57
2020,NTA2020,Brooklyn,BK5691,,Barren Island-Floyd Bennett Field,,9,21,7,14,1275.67
2020,NTA2020,Brooklyn,BK5692,,Jamaica Bay (West),,9,0,0,0,695.4
2020,NTA2020,Brooklyn,BK5693,,Shirley Chisholm State Park,,9,0,0,0,489.69
2020,NTA2020,Bronx,BX0101,,Mott Haven-Port Morris,,0,57718,26662,31056,940.12
2020,NTA2020,Bronx,BX0102,,Melrose,,0,42651,19902,22749,396.61
2020,NTA2020,Bronx,BX0201,,Hunts Point,,0,15131,7529,7602,1022.84
2020,NTA2020,Bronx,BX0202,,Longwood,,0,40289,18634,21655,352.24
2020,NTA2020,Bronx,BX0291,,North & South Brother Islands,,9,0,0,0,20.28
2020,NTA2020,Bronx,BX0301,,Morrisania,,0,37607,17657,19950,316.87
2020,NTA2020,Bronx,BX0302,,Claremont Village-Claremont (East),,0,24553,11012,13541,230.37
2020,NTA2020,Bronx,BX0303,,Crotona Park East,,0,30158,14018,16140,370.3
2020,NTA2020,Bronx,BX0391,,Crotona Park,,9,34,17,17,144.81
2020,NTA2020,Bronx,BX0401,,Concourse-Concourse Village,,0,69387,33080,36307,604.65
2020,NTA2020,Bronx,BX0402,,Highbridge,,0,32456,14978,17478,298.36
2020,NTA2020,Bronx,BX0403,,Mount Eden-Claremont (West),,0,49651,23417,26234,311.34
2020,NTA2020,Bronx,BX0491,,Yankee Stadium-Macombs Dam Park,,9,19,14,5,64.97
2020,NTA2020,Bronx,BX0492,,Claremont Park,,9,10,4,6,43.14
2020,NTA2020,Bronx,BX0501,,University Heights (South)-Morris Heights,,0,54682,25244,29438,447.52
2020,NTA2020,Bronx,BX0502,,Mount Hope,,0,49099,23352,25747,291.55
2020,NTA2020,Bronx,BX0503,,Fordham Heights,,0,32099,15544,16555,169.74
2020,NTA2020,Bronx,BX0601,,West Farms,,0,20147,9346,10801,268.29
2020,NTA2020,Bronx,BX0602,,Tremont,,0,32150,14894,17256,362.86
2020,NTA2020,Bronx,BX0603,,Belmont,,0,35825,16869,18956,376.31
2020,NTA2020,Bronx,BX0701,,University Heights (North)-Fordham,,0,46538,22049,24489,419.13
2020,NTA2020,Bronx,BX0702,,Bedford Park,,0,55521,26295,29226,479.04
2020,NTA2020,Bronx,BX0703,,Norwood,,0,43466,20656,22810,360.2
2020,NTA2020,Bronx,BX0801,,Kingsbridge Heights-Van Cortlandt Village,,0,35777,16500,19277,252.14
2020,NTA2020,Bronx,BX0802,,Kingsbridge-Marble Hill,,0,22807,10240,12567,284.25
2020,NTA2020,Bronx,BX0803,,Riverdale-Spuyten Duyvil,,0,47927,22002,25925,1473.14
2020,NTA2020,Bronx,BX0901,,Soundview-Bruckner-Bronx River,,0,74342,35295,39047,731.38
2020,NTA2020,Bronx,BX0902,,Soundview-Clason Point,,0,37297,16683,20614,690.66
2020,NTA2020,Bronx,BX0903,,Castle Hill-Unionport,,0,41420,19618,21802,749.29
2020,NTA2020,Bronx,BX0904,,Parkchester,,0,33602,15515,18087,210.57
