Year,GeogType,FIPSCode,BoroCode,GeogName,GeoID,Pop1,Male ,Fem,LandAcres
2020,CB2020,005,2,Bronx,20019032013,0,0,0,35.57
2020,CB2020,005,2,Bronx,20019032014,0,0,0,4.39
2020,CB2020,005,2,Bronx,20019040001,0,0,0,0
2020,CB2020,005,2,Bronx,20019040002,0,0,0,0
2020,CB2020,005,2,Bronx,20019040003,0,0,0,0
2020,CB2020,005,2,Bronx,20019041000,0,0,0,2.99
2020,CB2020,005,2,Bronx,20019042000,0,0,0,17.29
2020,CB2020,005,2,Bronx,20020011000,373,158,215,6.48
2020,CB2020,005,2,Bronx,20020011001,0,0,0,3.25
2020,CB2020,005,2,Bronx,20020011002,1949,852,1097,16
2020,CB2020,005,2,Bronx,20020011003,0,0,0,3.42
2020,CB2020,005,2,Bronx,20020012000,1961,764,1197,15.43
2020,CB2020,005,2,Bronx,20020013000,724,296,428,4.71
2020,CB2020,005,2,Bronx,20020021000,117,58,59,2.41
2020,CB2020,005,2,Bronx,20020021001,422,191,231,4.49
2020,CB2020,005,2,Bronx,20020021002,442,180,262,4.65
2020,CB2020,005,2,Bronx,20020021003,416,223,193,4.85
2020,CB2020,005,2,Bronx,20020021004,68,38,30,2.36
2020,CB2020,005,2,Bronx,20020022000,355,197,158,4.63
2020,CB2020,005,2,Bronx,20020022001,224,79,145,4.66
2020,CB2020,005,2,Bronx,20020022002,337,112,225,4.66
2020,CB2020,005,2,Bronx,20020022003,1095,489,606,4.83
2020,CB2020,005,2,Bronx,20020023000,336,132,204,3.3
2020,CB2020,005,2,Bronx,20020023001,403,194,209,4.88
2020,CB2020,005,2,Bronx,20020023002,369,199,170,4.91
2020,CB2020,005,2,Bronx,20023001000,1284,586,698,6.24
2020,CB2020,005,2,Bronx,20023001001,1406,559,847,5.5
2020,CB2020,005,2,Bronx,20023001002,0,0,0,1.09
2020,CB2020,005,2,Bronx,20023002000,452,201,251,4.82
2020,CB2020,005,2,Bronx,20023003000,1600,684,916,8.21
2020,CB2020,005,2,Bronx,20024000001,0,0,0,0
2020,CB2020,005,2,Bronx,20024001000,0,0,0,0.27
2020,CB2020,005,2,Bronx,20024001001,0,0,0,0.2
2020,CB2020,005,2,Bronx,20024001002,0,0,0,0.27
2020,CB2020,005,2,Bronx,20024001003,0,0,0,0.3
2020,CB2020,005,2,Bronx,20024001004,0,0,0,0.34
2020,CB2020,005,2,Bronx,20024001005,0,0,0,8.45
2020,CB2020,005,2,Bronx,20024001006,0,0,0,0.31
2020,CB2020,005,2,Bronx,20024001007,6,3,3,158.19
2020,CB2020,005,2,Bronx,20024001008,0,0,0,0.87
2020,CB2020,005,2,Bronx,20024001009,0,0,0,1.67
2020,CB2020,005,2,Bronx,20025001000,883,482,401,3.67
2020,CB2020,005,2,Bronx,20025001001,188,89,99,1.69
